"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",788807220,"","","","CC_BY_NC_4_0",2015-12-14,NA,"","","","","","","LD","General","","","PRESERVED_SPECIMEN","",NA,"","LD:General:1573707","1573707","","Hartweg",NA,1,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","1839-03","",NA,NA,1839,3,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"MX","Oaxaca","","","No locality information available","","",NA,NA,NA,NA,"",NA,16.95564,-96.43783,NA,NA,NA,"RT90",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Syntype","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","Vaccinium brachystachyum","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","ICN","ACCEPTED","",NA,"aab0cf80-0c64-11dd-84d1-b8a03c50a862","SE",2025-11-30 02:59:41.465,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",NA,NA,"",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","Vaccinium brachystachyum Benth.","EML",2025-11-30 02:59:41.465,2025-11-30 02:47:19.288,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","EUROPE","MEX","México","MEX.20_1","Oaxaca","MEX.20.548_2","Tlacolula de Matamoros","","",NA
"2",5892881975,"","","","CC_BY_4_0",2025-11-06 15:41:07,NA,"https://www.inaturalist.org/observations/324720749","Sebastián de Jesús Herrera Buenfil","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/324720749","324720749","","Sebastián de Jesús Herrera Buenfil",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-10-30T08:22","08:22:00-06:00",303,303,2025,10,30,"2025/10/30 8:22 AM","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Escuintla","","","","Palín, Guatemala","",NA,NA,NA,NA,"",NA,14.396836,-90.719282,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722548983,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-11-06 04:09:59,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","MX",2025-12-03 19:37:29.043,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 19:37:29.043,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","LATIN_AMERICA","GTM","Guatemala","GTM.6_1","Escuintla","GTM.6.8_1","Palín","","",NA
"3",5890189868,"","","","CC_BY_NC_4_0",2025-10-31 14:05:51,NA,"https://www.inaturalist.org/observations/307948182","msa3d151","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/307948182","307948182","","msa3d151",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2024-08-08T15:12","15:12:00-06:00",221,221,2024,8,8,"2024/08/08 3:12 PM","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Chimaltenango","","","","Acatenango, Guatemala","",NA,NA,NA,NA,"",NA,14.500461,-90.875666,208,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685368331,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-08-21 22:27:16,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:33:50.612,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 19:33:50.612,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.3_1","Chimaltenango","GTM.3.1_1","Acatenango","","",NA
"4",5889667230,"","","","CC_BY_NC_4_0",2025-10-31 14:32:48,NA,"https://www.inaturalist.org/observations/317899040","Claudel Drapeau-M","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/317899040","317899040","","Claudel Drapeau-M",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-09-29T12:23","12:23:00-06:00",272,272,2025,9,29,"2025-09-29T12:23","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Sacatepéquez","","","","Alotenango, Sacatepéquez, GT","",NA,NA,NA,NA,"",NA,14.491408,-90.860665,1377,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,706840634,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-10-03 03:09:57,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 19:36:17.583,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 19:36:17.583,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.16_1","Sacatepéquez","GTM.16.1_1","Alotenango","","",NA
"5",5889585144,"","","","CC_BY_NC_4_0",2025-10-31 14:33:14,NA,"https://www.inaturalist.org/observations/128019301","Robin Ardito","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/128019301","128019301","","Robin Ardito",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2016-03-06T06:53","06:53:00-06:00",66,66,2016,3,6,"2016/03/06 06:53","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Chimaltenango","","","","Acatenango, Guatemala","",NA,NA,NA,NA,"",NA,14.500461,-90.875666,3080,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604233971,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-03-23 05:03:14,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 17:53:02.84,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 17:53:02.84,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.3_1","Chimaltenango","GTM.3.1_1","Acatenango","","",NA
"6",5889373622,"","","","CC_BY_NC_4_0",2025-10-31 14:32:13,NA,"https://www.inaturalist.org/observations/304474402","eden hughes","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/304474402","304474402","","eden hughes",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-08-01T07:31:22","07:31:22-06:00",213,213,2025,8,1,"2025-08-01 07:31:22","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Sacatepéquez","","","","Alotenango, Sacatepéquez, GT","",NA,NA,NA,NA,"",NA,14.495962,-90.86988,4,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678100482,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-08-07 19:41:33,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:34:34.161,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 20:34:34.161,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.16_1","Sacatepéquez","GTM.16.1_1","Alotenango","","",NA
"7",5889339389,"","","","CC_BY_NC_4_0",2025-11-02 03:03:56,NA,"https://www.inaturalist.org/observations/150655676","Fátima Isabel Parra Rodríguez","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/150655676","150655676","","Fátima Isabel Parra Rodríguez",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2023-03-05T09:49:02","09:49:02-06:00",64,64,2023,3,5,"2023-03-05 09:49:02","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"MX","Veracruz","","","","Camerino Z. Mendoza, Ver., México","",NA,NA,NA,NA,"",NA,18.800263,-97.151605,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591398584,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-02-11 03:10:09,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","MX",2025-12-03 18:56:55.227,NA,NA,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 18:56:55.227,2025-12-03 05:25:56.254,NA,FALSE,NA,"",FALSE,"LATIN_AMERICA","LATIN_AMERICA","MEX","México","MEX.30_1","Veracruz","MEX.30.29_2","Camerino Z. Mendoza","","",NA
"8",5889244892,"","","","CC_BY_NC_4_0",2025-10-31 19:30:56,NA,"https://www.inaturalist.org/observations/323403965","Damon Tighe","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","Coordinate uncertainty increased to 30764m at the request of the observer",NA,"","https://www.inaturalist.org/observations/323403965","323403965","","Damon Tighe",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-08-28T11:14","11:14:00-06:00",240,240,2025,8,28,"2025/08/28 11:14 AM","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"MX","Oaxaca","","","","Oaxaca, MX","",NA,NA,NA,NA,"",NA,17.191354,-96.59171,30764,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718361152,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-10-27 17:51:01,NA,NA,"The last photo is amazing! Three genera of Ericaceae growing tightly in the same spot- Thanks for sharing!","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:38:02.456,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 20:38:02.456,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","MEX","México","MEX.20_1","Oaxaca","MEX.20.366_2","Santa Catarina Ixtepeji","","",NA
"9",5889239384,"","","","CC0_1_0",2025-10-31 14:07:04,NA,"https://www.inaturalist.org/observations/265854384","Johann","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/265854384","265854384","","Johann",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-03-17T14:21:08","14:21:08-06:00",76,76,2025,3,17,"2025-03-17 14:21:08","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Chimaltenango","","","","Acatenango, Guatemala","",NA,NA,NA,NA,"",NA,14.51101,-90.878982,5,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604231716,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-03-23 04:50:08,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:28:40.36,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 20:28:40.36,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.3_1","Chimaltenango","GTM.3.1_1","Acatenango","","",NA
"10",5830408085,"","","","CC_BY_NC_4_0",2025-10-31 14:05:35,NA,"https://www.inaturalist.org/observations/310877908","wild_horticulturalist","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/310877908","310877908","","wild_horticulturalist",NA,NA,NA,NA,"",NA,"fruits or seeds",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-08-31T15:40:47","15:40:47-06:00",243,243,2025,8,31,"2025-08-31 15:40:47-06:00","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Chimaltenango","","","","Yepocapa, Chimaltenango, GT","",NA,NA,NA,NA,"",NA,14.499575,-90.880692,70,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693308688,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-09-06 04:00:16,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 18:25:13.536,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 18:25:13.536,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.3_1","Chimaltenango","GTM.3.15_1","Yepocapa","","",NA
"11",5292671248,"","","","CC_BY_NC_4_0",2025-08-07 13:07:45,NA,"https://www.inaturalist.org/observations/301374693","nikyta0306","","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","",NA,"","https://www.inaturalist.org/observations/301374693","301374693","","nikyta0306",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2025-07-24T18:41:28","18:41:28-06:00",205,205,2025,7,24,"2025-07-24 18:41:28","",NA,NA,NA,NA,NA,NA,"",NA,"","NORTH_AMERICA",NA,NA,NA,"GT","Chimaltenango","","","","Yepocapa, Guatemala","",NA,NA,NA,NA,"",NA,14.485721,-90.87907,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673959754,NA,"","","Alberto Yahir Neri-Mondragón","https://orcid.org/0009-0000-1250-0764",2025-07-31 02:16:05,NA,NA,"","284983",NA,NA,NA,NA,NA,NA,NA,"Vaccinium confertum Kunth","","","","","",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"confertum",NA,NA,"SPECIES",NA,"","","ACCEPTED","",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2025-12-03 20:34:57.598,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,7328893,7328893,6,7707728,220,1353,2505,2882813,NA,7328893,"Vaccinium confertum","Vaccinium confertum Kunth","Vaccinium confertum","","DWC_ARCHIVE",2025-12-03 20:34:57.598,2025-12-03 05:25:56.254,NA,TRUE,NA,"",FALSE,"LATIN_AMERICA","NORTH_AMERICA","GTM","Guatemala","GTM.3_1","Chimaltenango","GTM.3.15_1","Yepocapa","","",NA
